author_name,total_books,total_sales,average_rating
Min Jin Lee,1,189,4.8
Minh Anh,1,14,5.0
Minh Khôi - Thanh Hương,2,6,1.0
Minh Long,1,0,0.0
Minh Phượng,1,0,0.0
Minh Quyên,1,0,0.0
Minh Thư,1,0,0.0
Minh Trang,3,9,1.6666666666666667
Minh Tâm,1,0,0.0
Mishima Manabu,1,1,0.0
Mistuko Tateishi,1,1,0.0
Mitsu Izumi,3,106,0.0
Mitsuko Tateishi,1,61,5.0
Miya Kazuki,1,1,0.0
Mizuho Kusanagi,1,3,0.0
Mogusu,2,0,0.0
Molière,1,25,4.8
Momoko Sakura,4,1364,4.8
Moogwi Kim,1,2,0.0
Moohan Education Lab,5,18,0.0
Moon,1,85,5.0
Mori Kaoru,1,6,5.0
Mori Kiyou,1,0,0.0
Morishige Takuma,1,0,0.0
Morita Kisetsu,1,242,5.0
Morotomi Yoshihiko,1,193,3.3
Motoki Monma,5,383,4.0
Mugiwara Shintaro,1,1,0.0
Muneyuki Kaneshiro,5,116,4.0
Myrna B. Shure,1,9,5.0
Mã Đình Và Kẹo Gấu QQ,1,0,0.0
Mèo Mốc,1,44,5.0
Mạc Ngôn,1,13,0.0
Mặc Hương Đồng Khứu,3,243,5.0
Mẹ Chuột Túi,1,150,5.0
Mẹ Ong Bông,13,794,2.3
"Mẹ Ong Bông, Bubu Huong, Hachun Lyonnet",1,0,0.0
"Mẹ Ong Bông, Hachun Lyonnet, Bubu Hương",3,50,1.6666666666666667
Mẹ Tưởng,1,20,5.0
Mễ Cát Khả,18,88,1.3888888888888888
Mỹ Thuận,1,1,0.0
NAOE,1,113,4.3
"NGƯT. Châu An, PGS.TS. Vũ Văn Dân",2,8,0.0
NII Satoru,2,177,2.5
NXB Class Publishing,1,9,4.8
Nagisa Tatsumi,1,12,5.0
Nalah2410,1,117,5.0
Nam Việt,1,2,0.0
Namei,1,0,0.0
Nana Aokawa,1,5,0.0
Naoi Mai,2,754,4.75
Naokata Mase,2,26,2.5
Naoki Ogi,3,326,0.0
Naoki Urasawa,1,243,5.0
Naomi Steiner M.D,3,152,1.5999999999999999
Naoshi Arakawa,1,227,4.7
Naoshi Komi,1,119,5.0
Narita Naoko,1,24,5.0
Natalie Marshall,1,7,0.0
Natasha Daniels,2,0,0.0
Nathalie Choux,2,32,2.5
Nathalie Nguyen,1,4,0.0
Natsu Hyuuga,2,44,2.5
Neil Macgregor,1,82,5.0
Nekomaki,3,226,4.833333333333333
Nekomaki (ms-work),3,279,4.8999999999999995
Nguyên Kan,1,1,0.0
Nguyễn Anh,3,75,4.933333333333334
Nguyễn Bính,1,155,5.0
Nguyễn Châu Nguyên,2,0,0.0
Nguyễn Chí Hiếu,1,23,0.0
Nguyễn Chí Phúc,3,31,1.6666666666666667
Nguyễn Dương Quỳnh,2,1,0.0
Nguyễn Hoàng,1,562,4.7
Nguyễn Hoàng Diệu Thủy,1,0,0.0
Nguyễn Huy Tưởng,1,32,5.0
Nguyễn Hạnh,1,0,0.0
Nguyễn Hữu Huấn,1,0,0.0
