author_name,total_books,total_sales,average_rating
Edward de Bono,6,46,0.7166666666666667
Gakken,15,46,0.0
Huy Cận,2,46,2.5
Kotteri!,1,46,5.0
Nguyễn Bình Phương,1,46,5.0
Nguyễn Đức Tấn,18,46,0.8055555555555556
Tam Tam,2,46,4.5
Tiền Thi Kim,3,46,3.0
MIKI KANO,4,45,1.25
"Tatsumi Nagisa , Sumimoto Nanami",1,45,4.8
Thy Ngọc,5,45,0.96
Yang Li Peng,4,45,1.25
Jenny Pearson,1,44,4.7
Jung Wan Kim,1,44,4.8
Lê Tuệ Minh,2,44,2.5
Lỗ Bằng Trình,5,44,1.94
Natsu Hyuuga,2,44,2.5
Shoko Kanno,1,44,4.8
"`, TS Huỳnh Lâm Anh Chương",1,44,4.7
Louis Weinstock,1,43,0.0
Lê Nhất Phương Hồng,1,43,5.0
"Nguyễn Hoàng Thanh Ly,  Minh Luận",1,43,5.0
Jayneen Sanders,3,41,1.6666666666666667
Nguyễn Thị Vi Khanh,4,41,2.5
Nhiều Tác Giả,1,41,5.0
Nhóm Dolphin,2,41,0.0
Rebeca Stead & Wendy Mass,1,41,5.0
Soichiro YAMAMOTO,4,41,2.5
Thuỳ Dương,1,41,4.8
"Trần Thị Yến (chủ biên),Lê Thị Thu Hiền",1,41,5.0
Adam Khoo,2,40,2.5
Baek MyoungSik,4,40,2.0
Bored Teachers,1,40,5.0
Chris Zook,3,40,0.0
Jonathan Sheikh Miller,1,40,5.0
Kyoko Hikawa,1,40,5.0
PGS.TS Hà Nam Khánh Giao,1,40,4.8
Phạm Thị Thúy,1,40,5.0
TS Phạm Văn Công,1,40,5.0
